band,image_name,method,method_source,available,missing_reason,valid_pixels,ref_valid_pixels,valid_ratio_on_ref,AbsRel,Agree@1%,Agree@5%,Agree@10%
NIR,DJI_20251217165121_0049_D.JPG,UMGS-I,Model_NIR,True,,65100,65100,1.0,0.019130684116826942,0.4741013824884793,0.9220430107526881,0.999815668202765
NIR,DJI_20251217165211_0065_D.JPG,From-scratch,Model_NIR,True,,45045,64898,0.6940891861074301,0.02865792228833733,0.20177817498227987,0.5861043483620451,0.6787728435390921
NIR,DJI_20251217165211_0065_D.JPG,Geometry-unfrozen,Model_NIR,True,,63399,64898,0.97690221578477,0.03437306536933018,0.22630897716416531,0.7526117908101945,0.9402446916700052
NIR,DJI_20251217165211_0065_D.JPG,MMS_retained-self,Model_NIR,True,,59587,64898,0.9181638879472402,0.12977367430555692,0.38591327929982433,0.776865234675953,0.8697648617831057
NIR,DJI_20251217165211_0065_D.JPG,UMGS-J,Model_NIR,True,,63235,64898,0.9743751733489476,0.03381666955765797,0.22939073623224138,0.7571265678449259,0.9386575857499461
NIR,DJI_20251217165211_0065_D.JPG,UMGS-I,Model_NIR,True,,63235,64898,0.9743751733489476,0.03381666955765797,0.22939073623224138,0.7571265678449259,0.9386575857499461
NIR,DJI_20251217165301_0089_D.JPG,From-scratch,Model_NIR,True,,48956,65081,0.7522318341758731,0.02040049789720944,0.3279298105437839,0.6947342542370277,0.7451483535901415
NIR,DJI_20251217165301_0089_D.JPG,Geometry-unfrozen,Model_NIR,True,,65076,65081,0.99992317266176,0.06128308187120451,0.2103378866335797,0.6710560685914476,0.8700081436978534
NIR,DJI_20251217165301_0089_D.JPG,MMS_retained-self,Model_NIR,True,,64990,65081,0.9986017424440313,0.5333446220079032,0.4225964567231604,0.6952105837341159,0.759745547855749
NIR,DJI_20251217165301_0089_D.JPG,UMGS-J,Model_NIR,True,,65077,65081,0.9999385381294079,0.06067157625375138,0.21863523916350394,0.6806287549361565,0.8701310674390375
NIR,DJI_20251217165301_0089_D.JPG,UMGS-I,Model_NIR,True,,65077,65081,0.9999385381294079,0.06067157625375138,0.21863523916350394,0.6806287549361565,0.8701310674390375
NIR,DJI_20251217165409_0113_D.JPG,From-scratch,Model_NIR,True,,58690,64246,0.9135199078541855,0.021465835026200072,0.36151667029854,0.8443794166173769,0.9045543691436043
NIR,DJI_20251217165409_0113_D.JPG,Geometry-unfrozen,Model_NIR,True,,64246,64246,1.0,0.030584445884897754,0.2501478691280391,0.8185879276530834,0.9759829405721757
NIR,DJI_20251217165409_0113_D.JPG,MMS_retained-self,Model_NIR,True,,64245,64246,0.9999844348286274,0.20191749820440003,0.5658406749058307,0.8970052610279239,0.9308128132490738
NIR,DJI_20251217165409_0113_D.JPG,UMGS-J,Model_NIR,True,,64246,64246,1.0,0.02995385044031115,0.2581016716994054,0.8271487719079788,0.9765744170843321
NIR,DJI_20251217165409_0113_D.JPG,UMGS-I,Model_NIR,True,,64246,64246,1.0,0.02995385044031115,0.2581016716994054,0.8271487719079788,0.9765744170843321
NIR,DJI_20251217165517_0137_D.JPG,From-scratch,Model_NIR,True,,52584,59246,0.8875535901157884,0.023681247458121637,0.34979576680282215,0.8053033116159741,0.8695608142321845
NIR,DJI_20251217165517_0137_D.JPG,Geometry-unfrozen,Model_NIR,True,,59238,59246,0.9998649697869898,0.02944850044268916,0.2793606319413969,0.8456098301995071,0.9718462005873815
NIR,DJI_20251217165517_0137_D.JPG,MMS_retained-self,Model_NIR,True,,58553,59246,0.9883030077979948,0.017881443754247207,0.5527630557337204,0.929396077372312,0.9751375620295041
NIR,DJI_20251217165517_0137_D.JPG,UMGS-J,Model_NIR,True,,59237,59246,0.9998480910103635,0.028894966967739917,0.28447490125915675,0.8529689768085609,0.9726057455355636
NIR,DJI_20251217165517_0137_D.JPG,UMGS-I,Model_NIR,True,,59237,59246,0.9998480910103635,0.028894966967739917,0.28447490125915675,0.8529689768085609,0.9726057455355636
NIR,DJI_20251217165550_0153_D.JPG,From-scratch,Model_NIR,True,,56050,58164,0.9636544941888453,0.021506946296601954,0.40738257341310774,0.8854274121449695,0.9472869816381266
NIR,DJI_20251217165550_0153_D.JPG,Geometry-unfrozen,Model_NIR,True,,58164,58164,1.0,0.028482191384844778,0.30933223299635515,0.825854480434633,0.9765318753868372
NIR,DJI_20251217165550_0153_D.JPG,MMS_retained-self,Model_NIR,True,,58156,58164,0.9998624578777251,0.02233916227251661,0.5984973523141462,0.9312633243930953,0.9811739220136166
NIR,DJI_20251217165550_0153_D.JPG,UMGS-J,Model_NIR,True,,58164,58164,1.0,0.027845252882754513,0.3153325080805997,0.8341413933016987,0.9771164294065058
NIR,DJI_20251217165550_0153_D.JPG,UMGS-I,Model_NIR,True,,58164,58164,1.0,0.027845252882754513,0.3153325080805997,0.8341413933016987,0.9771164294065058
NIR,DJI_20251217165655_0177_D.JPG,From-scratch,Model_NIR,True,,54351,63522,0.8556248228960045,0.026057062785476044,0.2777305500456535,0.7444979692075187,0.8400554138723592
NIR,DJI_20251217165655_0177_D.JPG,Geometry-unfrozen,Model_NIR,True,,63521,63522,0.9999842574226252,0.029476406647229125,0.2358238090740216,0.8305941248701237,0.978983659204685
NIR,DJI_20251217165655_0177_D.JPG,MMS_retained-self,Model_NIR,True,,62636,63522,0.9860520764459557,0.02028625037032647,0.49664683101917445,0.889219483013759,0.9681212808160952
NIR,DJI_20251217165655_0177_D.JPG,UMGS-J,Model_NIR,True,,63521,63522,0.9999842574226252,0.02875685316997162,0.24566291993325148,0.8368439280879065,0.9806681149837851
NIR,DJI_20251217165655_0177_D.JPG,UMGS-I,Model_NIR,True,,63521,63522,0.9999842574226252,0.02875685316997162,0.24566291993325148,0.8368439280879065,0.9806681149837851
NIR,DJI_20251217165744_0201_D.JPG,From-scratch,Model_NIR,True,,48667,60816,0.8002334911865299,0.02348529366397029,0.2975861615364378,0.7265851091817943,0.7870132859773744
NIR,DJI_20251217165744_0201_D.JPG,Geometry-unfrozen,Model_NIR,True,,60816,60816,1.0,0.04178203636747681,0.22679886871875823,0.7422717705866877,0.9246744277821626
NIR,DJI_20251217165744_0201_D.JPG,MMS_retained-self,Model_NIR,True,,60268,60816,0.990989213364904,0.12697252964286396,0.4405584056827151,0.7764732965009208,0.8515193370165746
NIR,DJI_20251217165744_0201_D.JPG,UMGS-J,Model_NIR,True,,60816,60816,1.0,0.041070868900832454,0.23638516179952643,0.7528282031044462,0.9257103393843725
NIR,DJI_20251217165744_0201_D.JPG,UMGS-I,Model_NIR,True,,60816,60816,1.0,0.041070868900832454,0.23638516179952643,0.7528282031044462,0.9257103393843725
